Probability,Number,Cost
0.0001,1,5
0.000875657,7,20
0.00005,1,5
0.00005,1,20
0.000466853,2,20
0.0004,1,20
0.000333333,6,10
0.000333333,5,10
0.000333333,2,20
3.08641E-06,1,10
0.000208333,1,10
0.000208333,1,10
0.000166667,2,10
0.000166667,1,10
0.000166667,1,10
1.66667E-05,1,10
1.66667E-05,1,20
0.000125,1,10
1.09127E-06,1,1
0.00090009,1,30
0.000666667,3,20
