Probability,Number,Cost
0.001183432,4,10
0.000175439,3,10
0.000650195,2,20
0.0004,4,20
0.000141683,1,5
0.000466853,7,20
0.00025,3,10
0.000123213,1,10
0.000416667,1,20
0.000166667,1,10
1.42857E-05,1,5
0.000208333,1,10
6.66667E-05,1,5
0.00005,1,5
0.000025,1,2
0.0002,4,10
8.33333E-06,1,2
0.000208333,3,10
0.00090009,2,30
